name,metal,ox,high_spin,spin_splitting_kcal/mol,energetic_homo_ls_eV,energetic_homo_hs_eV,energetic_lumo_ls_eV,energetic_lumo_hs_eV,energetic_gap_ls_eV,energetic_gap_hs_eV
cr_3_water_water_water_water_pyr_carbonyl,cr,3,4,-28.1577965027127,-18.4874156649551,-18.3595221506406,-16.2315917635351,-15.8234209731696,2.25582390142004,2.53610117747103
cr_3_water_water_water_water_pyr_misc,cr,3,4,-23.6768623561432,-17.6982854702485,-17.6547472526095,-15.6928063202526,-14.985310283619,2.00547914999586,2.66943696899043
cr_3_water_water_water_water_pyr_pyr,cr,3,4,-24.9546358014507,-17.5758342331388,-17.5404594313071,-15.1485785997652,-14.5744183546511,2.42725563337356,2.96604107665603
cr_3_water_water_water_water_water_carbonyl,cr,3,4,-22.8947817993556,-22.4766048561273,-23.0126691608074,-18.2016961116993,-17.6710740842241,4.27490874442809,5.34159507658329
cr_3_water_water_water_water_water_misc,cr,3,4,-25.0415312426416,-20.9391615457506,-21.0180745652213,-17.0180008196393,-16.1417941896546,3.92116072611132,4.87628037556661
cr_3_water_water_water_water_water_pyr,cr,3,4,-25.0621554710079,-18.2479554679407,-18.2207440819163,-15.8642380522061,-15.5349802813113,2.38371741573457,2.68576380060505
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_furan,fe,2,5,15.4720356111194,-14.3458427120464,-14.1961800889124,-12.106345642241,-12.7757457384404,2.23949706980542,1.42043435047197
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_misc,fe,2,5,34.984404737407,-17.7962464599362,-16.6833007715396,-11.1485048541833,-12.966225440611,6.64774160575292,3.71707533092857
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_furan_furan,fe,2,5,2.76153315055181,-13.9050182584517,-13.7090962790762,-11.3689170809806,-12.019269206963,2.53610117747103,1.68982707211321
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_misc_furan,fe,2,5,18.628647283177,-13.7308653878957,-13.5567125173398,-11.096803220737,-11.9158659400704,2.63406216715875,1.64084657726934
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_misc_misc,fe,2,5,35.3124954302855,-16.7458869593956,-15.8152575573622,-10.0736551062208,-11.7498764853218,6.67223185317485,4.06538107204047
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_pyr_furan,fe,2,5,10.4995838985852,-13.5050108838935,-13.2927620729034,-10.7022381233836,-11.396128467005,2.80277276050983,1.8966336058984
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_pyr_misc,fe,2,5,25.0147737366204,-14.6261199880974,-14.386659791083,-10.1552892642939,-11.2328601508588,4.47083072380354,3.15379964022416
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_pyr_pyr,fe,2,5,16.1272824471124,-14.5036687509877,-14.2859776627928,-9.75256075113322,-10.7185649549983,4.75110799985452,3.56741270779455
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_water_carbonyl,fe,2,5,16.518154772581,-18.4955790807624,-17.4098447783902,-12.5607757888479,-13.4505881118447,5.9348032919145,3.95925666654543
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_water_misc,fe,2,5,17.1414023275819,-17.1350097795441,-16.4220714657056,-11.4723203478732,-12.2260757407482,5.66268943167082,4.19599572495743
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_water_pyr,fe,2,5,7.45235095563876,-14.9798680064142,-14.7376866707973,-11.0559861417004,-11.6056561393926,3.92388186471376,3.13203053140467
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_water_water,fe,2,5,-0.976039656386756,-17.6547472526095,-17.0887504233026,-12.1335570282654,-12.7594189068258,5.52119022434411,4.32933151647683
fe_2_furan_furan_furan_furan_carbonyl_carbonyl,fe,2,5,-15.2994318512473,-13.0070425196475,-12.8709855895257,-10.0083477797623,-10.9280926273859,2.99869473988527,1.94289296213982
fe_2_furan_furan_furan_furan_carbonyl_furan,fe,2,5,-23.0664412829557,-12.792072570055,-12.6750636101503,-9.65732090004794,-10.2913461944157,3.13475167000711,2.38371741573457
fe_2_furan_furan_furan_furan_carbonyl_misc,fe,2,5,-13.9618348529735,-12.6070351450893,-12.5254009870162,-9.26547694129705,-10.1770583731133,3.3415582037923,2.34834261390289
fe_2_furan_furan_furan_furan_furan_furan,fe,2,5,-31.1477355717204,-12.5662180660528,-12.4873050465821,-8.96615169502901,-9.91855020588186,3.60006637102379,2.56875484070027
fe_2_furan_furan_furan_furan_misc_furan,fe,2,5,-23.6017049816793,-12.4002286113042,-12.3158733146286,-8.81376793329255,-9.70358025628936,3.5864606780116,2.61229305833926
fe_2_furan_furan_furan_furan_pyr_furan,fe,2,5,-29.1827618806273,-12.386622918292,-12.212470047736,-8.54709635025375,-9.32806312915309,3.83952656803822,2.88440691858293
fe_2_furan_furan_furan_furan_pyr_misc,fe,2,5,-22.7988286354947,-12.236960295158,-12.0927399492288,-8.55253862745863,-9.31445743614091,3.68442166769932,2.7782825130879
fe_2_furan_furan_furan_furan_pyr_pyr,fe,2,5,-28.806416085766,-12.2886619286042,-12.0573651473971,-8.24504996538328,-8.94982486341439,4.04361196322097,3.10754028398274
fe_2_furan_furan_furan_furan_water_furan,fe,2,5,-30.6884388600971,-12.6451310855235,-12.5199587098114,-8.97159397223388,-9.87229084964044,3.67353711328958,2.64766786017093
fe_2_furan_furan_furan_furan_water_misc,fe,2,5,-19.4138269210312,-12.4682570763651,-12.4219977201236,-8.78383540866575,-9.87501198824287,3.68442166769933,2.54698573188077
fe_2_furan_furan_furan_furan_water_pyr,fe,2,5,-30.6997758227441,-12.492747323787,-12.2424025723628,-8.64233620133904,-9.35527451517746,3.85041112244797,2.88712805718537
fe_2_misc_misc_misc_misc_carbonyl_carbonyl,fe,2,5,41.2230387286053,-14.8628590465094,-13.9376719216809,-8.05729140181514,-10.1634526801012,6.80556764469425,3.77421924157974
fe_2_misc_misc_misc_misc_carbonyl_furan,fe,2,5,26.3619901413754,-12.3839017796895,-12.0111057911557,-8.62600936972442,-9.7063013948918,3.75789240996512,2.30480439626391
fe_2_misc_misc_misc_misc_furan_furan,fe,2,5,7.92430629028291,-12.125393612458,-11.9158659400704,-8.21511744075647,-9.1729582288142,3.91027617170157,2.74290771125622
fe_2_misc_misc_misc_misc_misc_furan,fe,2,5,25.4708322483141,-11.9648464349143,-11.6274252482121,-7.81783120480071,-8.96615169502901,4.14701523011357,2.66127355318312
fe_2_misc_misc_misc_misc_misc_misc,fe,2,5,42.0825930483442,-13.3471848449521,-12.36213267087,-6.29943586464102,-8.68315328037559,7.04774898031112,3.67897939049445
fe_2_misc_misc_misc_misc_pyr_carbonyl,fe,2,5,31.7701625325712,-13.4260978644228,-12.8682644509233,-7.61646694822039,-8.90900778437784,5.80963091620241,3.95925666654543
fe_2_misc_misc_misc_misc_pyr_furan,fe,2,5,13.0512935060477,-11.8668854452266,-11.5593967831512,-7.58109214638871,-8.59879798370005,4.28579329883784,2.96059879945116
